Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,master,11738,SumatraPDF reader,2023-11-22T09:57:54Z
mongoose,https://github.com/cesanta/mongoose,master,10032,Embedded Web Server,2023-11-21T15:59:55Z
ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,master,17472,This project aims to enhance the working environment on Windows,2023-11-22T10:40:38Z
sanitizers,https://github.com/google/sanitizers,master,10257,"AddressSanitizer, ThreadSanitizer, MemorySanitizer",2023-11-22T06:31:32Z
torch7,https://github.com/torch/torch7,master,8885,http://torch.ch,2023-11-21T01:20:09Z
libgit2,https://github.com/libgit2/libgit2,main,9216,"A cross-platform, linkable library implementation of Git that you can use in your application.",2023-11-21T10:56:03Z
toxcore,https://github.com/irungentoo/toxcore,master,8722,The future of online communications.,2023-11-18T07:45:43Z
japronto,https://github.com/squeaky-pl/japronto,master,8627, Screaming-fast Python 3.5+ HTTP toolkit integrated with pipelining HTTP server based on uvloop and picohttpparser.,2023-11-20T13:00:41Z
Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,main,10488,我的超迷你机械臂机器人项目。,2023-11-22T08:01:04Z
coturn,https://github.com/coturn/coturn,master,9871,coturn TURN server project,2023-11-22T08:19:14Z
audacity,https://github.com/audacity/audacity,master,10473,Audio Editor                                     ,2023-11-22T07:47:44Z
Sandboxie,https://github.com/sandboxie-plus/Sandboxie,master,10959,Sandboxie Plus & Classic,2023-11-22T06:20:30Z
proxychains-ng,https://github.com/rofl0r/proxychains-ng,master,9100,"proxychains ng (new generation) - a preloader which hooks calls to sockets in dynamically linked programs and redirects it through one or more socks/http proxies. continuation of the unmaintained proxychains project. the sf.net page is currently not updated, use releases from github release page instead.",2023-11-22T10:01:51Z
fastdfs,https://github.com/happyfish100/fastdfs,master,8738,"FastDFS is an open source high performance distributed file system (DFS). It's major functions include: file storing, file syncing and file accessing, and design for high capacity and load balance. Wechat/Weixin public account (Chinese Language): fastdfs",2023-11-21T09:41:38Z
react-native-code-push,https://github.com/microsoft/react-native-code-push,master,8660,React Native module for CodePush,2023-11-22T06:45:27Z
zfs,https://github.com/openzfs/zfs,master,9722,OpenZFS on Linux and FreeBSD,2023-11-22T08:47:46Z
ffmpeg-libav-tutorial,https://github.com/leandromoreira/ffmpeg-libav-tutorial,master,9188,"FFmpeg libav tutorial - learn how media works from basic to transmuxing, transcoding and more. Translations: 🇺🇸 🇨🇳 🇰🇷 🇪🇸 🇻🇳 🇧🇷",2023-11-22T02:27:00Z
